COMID,HUC8,WA,Elev,BMMI,IWI,Slope
3788087.A,5020005,11705.8761,592.7733792,,0.734287732,0.00001
3788087.B,5020005,11705.8761,592.7733792,,0.734287732,0.00001
3788087.C,5020005,11705.8761,592.7733792,,0.734287732,0.00001
3788087.D,5020005,11705.8761,592.7733792,,0.734287732,0.00001
3788089.A,5020005,140.9814,356.6554727,0.445,0.665950502,0.00336633
3788093.A,5020005,11562.8157,595.7082067,,0.752334877,0.00001
3788093.B,5020005,11562.8157,595.7082067,,0.752334877,0.00001
3788099.A,5020005,11561.2452,595.7503559,0.528,0.659588857,0.00001597
3788099.B,5020005,11561.2452,595.7503559,0.528,0.659588857,0.00001597
3788099.C,5020005,11561.2452,595.7503559,0.528,0.659588857,0.00001597
3788099.D,5020005,11561.2452,595.7503559,0.528,0.659588857,0.00001597
3788099.E,5020005,11561.2452,595.7503559,0.528,0.659588857,0.00001597
3788101.A,5020005,10.845,308.8699627,,0.788864238,0.01355555
3788105.A,5020005,11549.5992,596.0428988,0.610666667,0.63101917,0.00142302
3788105.B,5020005,11549.5992,596.0428988,0.610666667,0.63101917,0.00142302
3788105.C,5020005,11549.5992,596.0428988,0.610666667,0.63101917,0.00142302
3788119.A,5020005,11352.0636,599.5920121,,0.83092038,0.00003176
3788119.B,5020005,11352.0636,599.5920121,,0.83092038,0.00003176
3788119.C,5020005,11352.0636,599.5920121,,0.83092038,0.00003176
3788123.A,5020005,2.3481,327.0961096,,0.398685386,0.00111111
3788125.A,5020005,11346.2379,599.7444429,0.508666667,0.68771255,0.00001914
3788125.B,5020005,11346.2379,599.7444429,0.508666667,0.68771255,0.00001914
3788129.A,5020005,10740.2742,612.7030351,0.516666667,0.668693118,0.00001
3788135.A,5020005,10736.9622,612.7916823,0.489333333,0.714005142,0.00001
3788137.A,5020005,10734.3513,612.8609947,,0.829270259,0.00021844
3788137.B,5020005,10734.3513,612.8609947,,0.829270259,0.00021844
3788137.C,5020005,10734.3513,612.8609947,,0.829270259,0.00021844
3788143.A,5020005,10732.9698,612.8995389,0.455666667,0.760207471,0.00001
3788143.B,5020005,10732.9698,612.8995389,0.455666667,0.760207471,0.00001
3788379.A,5020005,349.0362,351.8658563,,0.519704603,0.0020865
3788689.A,5020005,107.8083,374.8618092,0.573333333,0.662508638,0.00103697
3789015.A,5020005,103.3578,366.8851644,0.464666667,0.712999071,0.0012929
3789039.A,5020005,67.8294,373.5644007,0.494333333,0.783666846,0.00084769
3789039.B,5020005,67.8294,373.5644007,0.494333333,0.783666846,0.00084769
3789039.C,5020005,67.8294,373.5644007,0.494333333,0.783666846,0.00084769
3789043.A,5020005,88.3224,370.2352497,0.615666667,0.706114039,0.00093337
3789271.A,5020005,516.7314,374.8157658,,0.797865879,0.00062903
3789383.A,5020005,315.6984,379.4146348,0.555,0.735081383,0.00141617
3789757.A,5020005,11945.9574,587.4920006,0.478,0.764033749,0.00023021
3789757.B,5020005,11945.9574,587.4920006,0.478,0.764033749,0.00023021
3789757.C,5020005,11945.9574,587.4920006,0.478,0.764033749,0.00023021
3789761.A,5020005,11944.7676,587.5222479,0.552333333,0.695178042,0.00001
3789761.B,5020005,11944.7676,587.5222479,0.552333333,0.695178042,0.00001
3789773.A,5020005,15.1146,319.2209134,0.54,0.506836355,0.00001
3793079.A,5020005,603.6948,370.4014666,,0.702734034,0.00004683
3798115.A,18010208,5.355,1479.560521,0.621333333,0.894302779,0.19402521
3801139.A,18010208,37.1511,1485.256397,0.574333333,0.865841709,0.0189058
3801149.A,18010208,7.1199,1810.164318,0.668666667,0.88171128,0.16452961
3804811.A,5020006,32.3928,327.7382696,0.444,0.381778586,0.00518091
3805075.A,5020006,312.3621,350.7204737,0.414666667,0.876299801,0.00135029
3805093.A,5020006,29.2167,350.8822666,,0.873154283,0.00204025
3805103.A,5020006,32.7897,411.3388832,0.523,0.78266548,0.00237089
3805109.A,5020006,209.0286,355.2482117,0.558,0.292792168,0.00095392
3805197.A,5020006,14.85,321.5013715,0.545,0.663126826,0.01835423
3805217.A,5020006,10.7685,513.1532194,0.443666667,0.477285843,0.01590795
3805227.A,5020006,31.4631,576.9620189,0.629666667,0.793475649,0.0326394
3805235.A,5020006,27.3393,579.526366,,0.736906588,0.02665082
3805271.A,5020006,8.2539,521.4743398,,0.89606856,0.03109691
3805331.A,5020006,243.1494,411.0572054,,0.752875886,0.00196192
3805345.A,5020006,17.6859,703.0849305,0.634333333,0.734359558,0.02160671
3805365.A,5020006,22.8042,681.9192947,0.546666667,0.814121235,0.00957567
3805403.A,5020006,9.1287,687.3003835,0.517666667,0.708586231,0.02612349
3805403.B,5020006,9.1287,687.3003835,0.517666667,0.708586231,0.02612349
3805409.A,5020006,5.724,591.3134984,,0.748968469,0.0510385
3805433.A,5020006,6.4017,724.3707732,,0.805492313,0.04720758
3805433.B,5020006,6.4017,724.3707732,,0.805492313,0.04720758
3805439.A,5020006,47.3013,638.7903021,0.640333333,0.684199476,0.00435357
3805465.A,5020006,160.7463,433.3743229,0.606,0.54888779,0.00068075
3805491.A,5020006,6.5898,599.8955463,,0.637048426,0.02195209
3805503.A,5020006,12.6486,716.3537761,0.591666667,0.535167722,0.0354777
3805505.A,5020006,15.3882,533.6106527,,0.738679928,0.00738307
3805507.A,5020006,17.9334,573.0344454,,0.635427085,0.01664521
3805543.A,5020006,6.9048,792.1192023,0.596,0.521582762,0.01578881
3805549.A,5020006,50.8149,684.3439156,,0.938293153,0.00117191
3805565.A,5020006,11.4741,743.7040889,0.567,0.636792131,0.04424233
3805565.B,5020006,11.4741,743.7040889,0.567,0.636792131,0.04424233
3805589.A,5020006,88.7292,636.6505463,0.593666667,0.547669004,0.00281646
3805607.A,5020006,9.6003,773.6790869,0.611666667,0.45469607,0.03016393
3805637.A,5020006,11.9826,765.5619468,0.508666667,0.573776395,0.02470279
3805637.B,5020006,11.9826,765.5619468,0.508666667,0.573776395,0.02470279
3805639.A,5020006,15.0741,647.6529208,0.5,0.606640148,0.00236215
3805667.A,5020006,8.8272,615.1592924,0.351666667,0.897636354,0.0378409
3805681.A,5020006,86.2425,700.7974159,0.428333333,0.428388482,0.00017028
3805765.A,5020006,167.67,612.7152739,0.622666667,0.731855504,0.00278782
3805849.A,5020006,10.0836,600.7053186,,0.552675618,0.0295967
3805953.A,5010008,16.4241,390.5583413,,0.806227737,0.00268398
3805985.A,5020006,349.6905,346.5128806,0.575,0.792486159,0.00396843
3805987.A,5020006,433.7406,344.2025012,0.51,0.316629385,0.00130674
3805997.A,5020006,114.7869,365.4336544,,0.33947487,0.0007081
3806019.A,5020006,57.447,533.3898347,0.558666667,0.778219362,0.00865719
3806029.A,5020006,9.8649,516.0097911,0.535,0.813658565,0.03578827
3806031.A,5020006,8.4915,774.9739989,0.678333333,0.733970473,0.03198311
3806041.A,5020006,2.0502,804.5944469,0.658333333,0.548431498,0.04044642
3806045.A,5020006,6.4413,547.0539919,,0.478714118,0.04723583
3806055.A,5020006,24.7923,584.3759625,,0.814384244,0.01740704
3806063.A,5020006,12.762,766.4375402,0.549666667,0.335187173,0.01912999
3806063.B,5020006,12.762,766.4375402,0.549666667,0.335187173,0.01912999
3806083.A,5020006,4515.0948,609.8356886,,0.347243459,0.00140052
3806109.A,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806109.B,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806109.C,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806109.D,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806109.E,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806109.F,5020006,4506.3045,610.4208188,,0.384265652,0.00001
3806145.A,5020006,433.7982,344.1902479,,0.369762728,0.02425
3806147.A,5020006,4434.8382,615.290543,,0.577498533,0.00005021
3806155.A,5020006,3975.4242,646.8037403,0.445666667,0.720811618,0.00037253
3806171.A,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.B,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.C,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.D,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.E,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.F,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.G,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.H,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806171.I,5020006,3944.2104,649.5148014,0.525333333,0.361449075,0.0004137
3806621.A,5020006,60.1794,760.9013047,0.557333333,0.583878108,0.01387453
3806643.A,5020006,21.4353,763.6356535,0.576666667,0.381315336,0.00446941
3806645.A,5020006,10.8054,756.0796069,0.654333333,0.514185735,0.00928298
3806645.B,5020006,10.8054,756.0796069,0.654333333,0.514185735,0.00928298
3806649.A,5020006,17.2179,765.8015681,,0.570020091,0.00637117
3806861.A,5020006,5.283,746.1922095,,0.482443766,0.00133964
3806887.A,5020006,234.5778,611.4503541,0.492333333,0.642482788,0.00295047
3806891.A,5020006,10.0296,756.8094831,0.581666667,0.394731991,0.02241632
3806907.A,5020006,5.6619,752.2471674,0.548666667,0.423662703,0.00760337
3806911.A,5020006,115.4736,707.8015597,0.629666667,0.622641165,0.00331476
3806919.A,5020006,19.035,740.5190369,,0.379335733,0.00301291
3806919.B,5020006,19.035,740.5190369,,0.379335733,0.00301291
3806921.A,5020006,25.911,734.0853904,0.479,0.359422646,0.01476605
3806989.A,5020006,17.8785,575.4993244,,0.298722729,0.03967833
3807029.A,5020006,90.4383,544.760683,0.378333333,0.22921674,0.00441094
3807033.A,5020006,11.7837,669.432651,,0.681825742,0.03968555
3807037.A,5020006,11.1141,768.3259746,,0.413953734,0.03157608
3807037.B,5020006,11.1141,768.3259746,,0.413953734,0.03157608
3807047.A,5020006,65.313,593.5993886,0.425333333,0.496280364,0.01498054
3807047.B,5020006,65.313,593.5993886,0.425333333,0.496280364,0.01498054
3807069.A,5020006,15.0003,750.758488,,0.815582708,0.02992509
3807071.A,5020006,32.4135,736.116585,0.652,0.735370134,0.01547887
3807089.A,5020006,31.1472,626.400293,0.549666667,0.360119268,0.00757716
3807099.A,5020006,6.1182,621.3819123,,0.850497785,0.00353103
3807105.A,5020006,28.2771,645.6408457,0.483,0.364691528,0.00266881
3807145.A,5020006,60.2289,603.8157901,,0.255002936,0.01676816
3807145.B,5020006,60.2289,603.8157901,,0.255002936,0.01676816
3807151.A,5020006,25.8012,657.3544154,0.437,0.312059721,0.02292165
3807151.B,5020006,25.8012,657.3544154,0.437,0.312059721,0.02292165
3807227.A,5020006,33.4143,643.7262335,,0.889956727,0.01336158
3807231.A,5020006,198.2232,698.7242124,,0.751773685,0.00049469
3807259.A,5020006,10.3329,692.8710461,,0.373357368,0.04852033
3807273.A,5020006,46.9368,623.9153869,,0.239488657,0.01606324
3807363.A,5020006,18.4536,634.4465065,,0.228400993,0.02091204
3807433.A,5020006,51.1587,637.107264,,0.809364063,0.00689829
3807437.A,5020006,27.0531,638.1998649,0.347,0.298318752,0.02913729
3807445.A,5020006,16.6752,623.6865933,0.324666667,0.378348431,0.0502409
3807477.A,5020006,255.6918,688.9991268,0.522,0.800128527,0.01651459
3807515.A,5020006,10.2123,602.939584,0.429333333,0.822513621,0.02353535
3807525.A,5020006,8.8326,638.2851946,0.320666667,0.649659846,0.03080276
3807525.B,5020006,8.8326,638.2851946,0.320666667,0.649659846,0.03080276
3807525.C,5020006,8.8326,638.2851946,0.320666667,0.649659846,0.03080276
3807625.A,5020006,658.5993,745.6020531,,0.506348738,0.00236375
3807627.A,5020006,91.1205,709.4945911,,0.923908136,0.00409187
3807627.B,5020006,91.1205,709.4945911,,0.923908136,0.00409187
3807643.A,5020006,4.3236,590.346759,,0.690666638,0.04265439
3807685.A,5020006,4.7979,749.7989364,0.347333333,0.652388011,0.05321605
3807761.A,5020006,106.6995,617.9090197,0.308,0.276549325,0.02455078
3807769.A,5020006,298.0098,678.0630696,0.396333333,0.407537409,0.0058547
3807789.A,5020006,537.8049,754.7012974,0.243,0.215538784,0.00082138
3807887.A,5020006,13.5036,822.6085677,0.350333333,0.404867929,0.01183241
3807891.A,5020006,47.0835,732.5428288,,0.343804824,0.00356372
3807891.B,5020006,47.0835,732.5428288,,0.343804824,0.00356372
3807913.A,5020006,8.4591,751.2078562,,0.69300544,0.02866666
3807931.A,5020006,43.2144,739.1248809,,0.563906688,0.00488193
3807943.A,5020006,323.9847,665.4304368,0.469666667,0.360967184,0.00364806
3807953.A,5020006,32.1363,776.2314622,0.653333333,0.749651608,0.04430224
3807957.A,5020006,34.5726,754.5380687,,0.70359456,0.00389965
3807961.A,5020006,5.508,587.3458301,,0.675966792,0.01118193
3808057.A,5020006,1120.3569,717.503621,0.33,0.554808532,0.00270655
3808085.A,5020006,11.988,702.2877943,,0.281785429,0.04576579
3808095.A,5020006,83.6253,727.7191474,,0.224494468,0.0156692
3808115.A,5020006,364.1292,768.0191946,,0.68856527,0.00124002
3808167.A,5020006,349.5798,770.8814565,0.578333333,0.474773613,0.00116695
3808191.A,5020006,19.0935,830.144345,,0.747035856,0.01781122
3808203.A,5020006,254.9322,773.5977245,,0.761594498,0.00128227
3808209.A,5020006,35.6634,777.6983072,0.457333333,0.865585109,0.01080586
3808237.A,5020006,5.6466,807.2122713,,0.735751886,0.03974195
3808249.A,5020006,11.2014,771.2573895,,0.359491765,0.01069202
3808249.B,5020006,11.2014,771.2573895,,0.359491765,0.01069202
3808249.C,5020006,11.2014,771.2573895,,0.359491765,0.01069202
3808275.A,5020006,5.4945,800.6862654,,0.313156604,0.04252225
3808393.A,5020006,6.1821,782.1143951,,0.597245388,0.03900206
3808395.A,5020006,5.2893,668.5524502,0.311666667,0.335263417,0.04584956
3808433.A,5020006,7.5258,742.1938926,0.338666667,0.752240196,0.02517884
3808623.A,5020006,31.7466,832.4524777,0.260333333,0.416063919,0.01416531
3808705.A,5020006,311.8986,598.572807,0.513666667,0.702153152,0.0134348
3808713.A,5020006,147.4002,702.4349682,0.449333333,0.654844519,0.00706711
3808715.A,5020006,16.9605,726.9760907,,0.450317964,0.02290172
3808719.A,5020006,10.7262,609.9869198,,0.75482741,0.01405904
3808745.A,5020006,990.684,718.5144145,0.474,0.600165807,0.00001
3808749.A,5020006,91.3599,618.1840324,0.335,0.220337644,0.0097634
3808749.B,5020006,91.3599,618.1840324,0.335,0.220337644,0.0097634
3808749.C,5020006,91.3599,618.1840324,0.335,0.220337644,0.0097634
3808749.D,5020006,91.3599,618.1840324,0.335,0.220337644,0.0097634
3808755.A,5020006,315.729,670.0081028,,0.888489766,0.00177323
3808755.B,5020006,315.729,670.0081028,,0.888489766,0.00177323
3808759.A,5020006,13.9257,794.9585316,0.399333333,0.392539804,0.03683469
3808775.A,5020006,86.7681,772.4129666,,0.704777159,0.0143256
3808775.B,5020006,86.7681,772.4129666,,0.704777159,0.0143256
3808775.C,5020006,86.7681,772.4129666,,0.704777159,0.0143256
3808775.D,5020006,86.7681,772.4129666,,0.704777159,0.0143256
3808777.A,5020006,19.0926,778.1356274,0.493,0.540708927,0.01724713
3808783.A,5020006,11.2473,783.734854,0.427,0.691202833,0.0225
3808785.A,5020006,62.6616,762.6926771,0.187,0.217387046,0.01310038
3808797.A,5020006,27.6723,779.2566504,0.274333333,0.443370494,0.01299925
3808859.A,5020006,649.1322,791.5571284,0.515666667,0.790460694,0.01637858
3809011.A,5020006,2731.6341,718.5826221,,0.765480928,0.00139439
3809023.A,5020006,2661.6204,720.8754841,0.574666667,0.582071734,0.00005437
3809037.A,5020006,1121.0112,742.3494848,0.579333333,0.800498589,0.00586867
3809041.A,5020006,1115.8884,743.1775595,,0.667105368,0.00001
3809221.A,5020006,9.7866,711.7641871,,0.586280428,0.04141176
3809227.A,5020006,685.6191,789.4778641,0.305,0.661690839,0.00129032
3809511.A,5020006,23.4504,816.1711897,0.342666667,0.569192686,0.00252396
3809601.A,5020006,17.379,770.9928773,0.609333333,0.423485489,0.00445901
3818843.A,5030101,62.7156,346.6705125,,0.392766271,0.00152015
3818843.B,5030101,62.7156,346.6705125,,0.392766271,0.00152015
3818881.A,5030101,74.3895,340.6122728,0.159,0.360546767,0.00220606
3818881.B,5030101,74.3895,340.6122728,0.159,0.360546767,0.00220606
3818895.A,5030101,149.8158,341.0553082,0.387,0.440169203,0.00090728
3818957.A,5030101,183.2616,338.1251455,0.412,0.483035673,0.00155963
3818995.A,5030101,190.9188,337.1635722,0.433333333,0.344683161,0.00175953
3819047.A,5030101,233.4114,335.7247568,0.349666667,0.603190337,0.00184887
3819373.A,5030101,3.4623,350.0420821,0.373,0.441061726,0.01423475
3819515.A,5030101,18.09,318.5382677,0.309,0.487523633,0.01395326
3819585.A,5030101,2.1519,302.363555,0.416,0.429084648,0.04421033
3819585.B,5030101,2.1519,302.363555,0.416,0.429084648,0.04421033
3819597.A,5030101,14.2461,352.2822572,,0.400036982,0.01754918
3819643.A,5030101,2.835,346.5997302,0.340333333,0.499771756,0.02048792
3819647.A,5030101,19.5543,344.5967078,0.296333333,0.421726699,0.01184967
3819697.A,5030101,23.5548,338.5160213,0.327666667,0.424159467,0.00975947
3819701.A,5030101,16.9164,335.1192706,0.438333333,0.595047427,0.02476936
3820219.A,5030101,25.4628,325.0459218,0.300666667,0.368346645,0.00912347
3820383.A,5030101,22.8879,320.3157237,,0.695267956,0.00969463
3820395.A,5030101,9.7668,343.2713933,0.41,0.425146455,0.01895271
3820531.A,5030101,13.32,335.2985872,0.312,0.414771166,0.01533064
3820643.A,5030101,51.3225,349.0389841,0.329333333,0.397742724,0.00689152
3820707.A,5030101,40.4577,352.6791689,,0.411335616,0.00268413
3820769.A,5030101,31.3236,352.018755,,0.511713126,0.00341365
3820779.A,5030101,61.7067,343.8385476,0.184333333,0.315347568,0.00134166
3820785.A,5030101,5.9391,330.2807728,0.295,0.565205371,0.00760167
3820865.A,5030101,14.4693,338.937372,0.444,0.465956284,0.02891319
3820871.A,5030101,476.6958,337.7878614,,0.605588,0.00184749
3820879.A,5030101,32.229,334.9498118,,0.151380874,0.01137844
3820983.A,5030101,50772.8511,508.0238817,0.265,0.523658552,0.00002343
3821007.A,5030101,58974.048,484.944068,,0.62940028,0.00001
3821007.B,5030101,58974.048,484.944068,,0.62940028,0.00001
3821007.C,5030101,58974.048,484.944068,,0.62940028,0.00001
3821007.D,5030101,58974.048,484.944068,,0.62940028,0.00001
3821007.E,5030101,58974.048,484.944068,,0.62940028,0.00001
3821007.F,5030101,58974.048,484.944068,,0.62940028,0.00001
3821009.A,5030101,2.2329,299.1751995,0.404666667,0.344646123,0.00003921
3821013.A,5030101,58976.4483,484.9362686,,0.640669204,0.0000923
3821015.A,5030101,18.1404,318.2348025,0.461666667,0.30510192,0.00013215
3821033.A,5030101,58997.9214,484.8730203,,0.7076406,0.00004589
3821065.A,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.B,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.C,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.D,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.E,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.F,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.G,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.H,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.I,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.J,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821065.K,5030101,59496.4512,483.6246546,,0.689635054,0.00001
3821075.A,5030101,59520.5568,483.5652242,0.289,0.417943932,0.00001
3821085.A,5030101,59537.0637,483.522504,0.286,0.364660542,0.00001
3821085.B,5030101,59537.0637,483.522504,0.286,0.364660542,0.00001
3821085.C,5030101,59537.0637,483.522504,0.286,0.364660542,0.00001
3821091.A,5030101,1317.4425,343.9002835,0.172666667,0.489919309,0.00041866
3821093.A,5030101,50663.0943,508.4619539,,0.584430532,0.00001
3821095.A,5030101,2.5362,280.3461072,,0.71515263,0.01661538
3821097.A,5030101,59543.9919,483.501249,,0.691829336,0.00001
3821109.A,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.B,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.C,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.D,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.E,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.F,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.G,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821109.H,5030101,59567.6502,483.4253891,0.257666667,0.702027294,0.00004598
3821117.A,5030101,50640.7851,508.5566802,0.32,0.479107743,0.00001
3821117.B,5030101,50640.7851,508.5566802,0.32,0.479107743,0.00001
3821119.A,5030101,2.7675,324.6209073,0.458333333,0.220590575,0.00001
3821145.A,5030101,78.4566,324.463267,,0.49590052,0.00001
3821145.B,5030101,78.4566,324.463267,,0.49590052,0.00001
3821145.C,5030101,78.4566,324.463267,,0.49590052,0.00001
3821147.A,5030101,50633.7372,508.5875326,0.324333333,0.582882875,0.00001
3821147.B,5030101,50633.7372,508.5875326,0.324333333,0.582882875,0.00001
3821171.A,5030101,50551.2891,508.8913339,0.396,0.426645511,0.00001
3821171.B,5030101,50551.2891,508.8913339,0.396,0.426645511,0.00001
3821171.C,5030101,50551.2891,508.8913339,0.396,0.426645511,0.00001
3821171.D,5030101,50551.2891,508.8913339,0.396,0.426645511,0.00001
3821201.A,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821201.B,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821201.C,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821201.D,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821201.E,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821201.F,5030101,50545.9737,508.9157042,0.346666667,0.369767561,0.00001
3821203.A,5030101,22.9338,320.101826,0.112333333,0.441014954,0.01618556
3821203.B,5030101,22.9338,320.101826,0.112333333,0.441014954,0.01618556
3821203.C,5030101,22.9338,320.101826,0.112333333,0.441014954,0.01618556
3821211.A,5030101,25.5897,324.4940344,,0.455136184,0.00010067
3821211.B,5030101,25.5897,324.4940344,,0.455136184,0.00010067
3821213.A,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821213.B,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821213.C,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821213.D,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821213.E,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821213.F,5030101,50522.2695,509.0058517,0.346666667,0.494735317,0.00001
3821215.A,5030101,50496.1254,509.1024768,0.215333333,0.599054836,0.00001
3821227.A,5030101,50485.6611,509.1466683,,0.32079849,0.00007964
3821235.A,5030101,50472.2448,509.2041882,0.183666667,0.4905303,0.0001
3821241.A,5030101,50347.9116,509.6638864,0.374,0.214604527,0.00020808
3821241.B,5030101,50347.9116,509.6638864,0.374,0.214604527,0.00020808
3821243.A,5030101,119.5551,324.4860606,,0.585649879,0.0003462
3821249.A,5030101,116.8092,325.1813366,,0.799177347,0.00001
3821261.A,5030101,50331.7845,509.7244786,0.294666667,0.558916227,0.00001
3821269.A,5030101,50277.9348,509.9176226,0.255333333,0.669102826,0.0013049
3821279.A,5030101,6.9597,275.0252088,,0.347339381,0.00067471
3821279.B,5030101,6.9597,275.0252088,,0.347339381,0.00067471
3822407.A,5030101,78.3216,334.3928097,,0.146446759,0.0015566
3822459.A,5030101,24.0039,349.3586581,0.326666667,0.376069248,0.00812544
3822477.A,5030101,68.0994,337.1485732,,0.231984414,0.00338664
3822527.A,5030101,45.8667,339.3266482,0.380666667,0.175253382,0.0049007
3822659.A,5030101,128.4552,337.6722419,,0.668101331,0.00478252
3822699.A,5030101,18.9792,347.5577177,,0.174534319,0.00928478
3822701.A,5030101,25.7409,344.4910667,,0.153698556,0.01547725
3822861.A,5030101,101.6217,336.7063851,,0.600070694,0.00400474
3822901.A,5030101,6.8796,350.320068,,0.340451385,0.00895198
3823161.A,5030101,57.0996,353.5053457,0.567666667,0.153171097,0.00681528
3823335.A,5030101,36.6471,357.2792701,0.336666667,0.164359085,0.00474413
3823357.A,5030101,24.615,363.069226,,0.178901433,0.00570912
3823623.A,5030101,74.8215,358.6734095,0.608,0.158405715,0.00583128
3823683.A,5030101,31.3263,360.1179349,0.331666667,0.155806761,0.00728174
3823699.A,5030101,95.751,354.0547017,,0.336249293,0.00163593
3823699.B,5030101,95.751,354.0547017,,0.336249293,0.00163593
3823699.C,5030101,95.751,354.0547017,,0.336249293,0.00163593
3823707.A,5030101,88.8129,355.4137866,0.246666667,0.6200978,0.00120994
3823953.A,5030101,31.1499,347.4870012,,0.652326616,0.00552549
3824057.A,5030101,138.7998,355.1721409,0.467666667,0.700056552,0.00293953
3824075.A,5030101,102.1419,352.670732,0.258666667,0.659832601,0.00161639
3824077.A,5030101,209.1078,353.9475663,,0.478838463,0.00232897
3824077.B,5030101,209.1078,353.9475663,,0.478838463,0.00232897
3824127.A,5030101,4.9077,289.4203613,0.504333333,0.703334227,0.00230769
3824131.A,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.B,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.C,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.D,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.E,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.F,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.G,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.H,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.I,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.J,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.K,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.L,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824131.M,5030101,50271.8733,509.9419675,0.275333333,0.643534652,0.00005672
3824133.A,5030101,718.5096,339.6835454,,0.31252506,0.00014436
3824133.B,5030101,718.5096,339.6835454,,0.31252506,0.00014436
3824135.A,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.B,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.C,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.D,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.E,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.F,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3824135.G,5030101,49540.9941,512.4687442,0.162333333,0.479251472,0.00001
3836053.A,12100303,5050.0638,328.496305,,0.879166457,0.00045742
3838223.A,12100303,5443.5609,314.0577715,,0.871657313,0.00284447
3839167.A,12100303,9215.424,263.7023329,0.222333333,0.468332358,0.00001
3839705.A,12100303,9739.0044,254.1923345,,0.657867728,0.00003051
3839815.A,12100303,10111.8969,247.6755653,0.496666667,0.733137726,0.00001
3840137.A,12100303,10715.3523,236.8309138,0.503333333,0.739045062,0.00001
3841003.A,12100303,10790.6202,235.2880712,0.221666667,0.531533902,0.00028292
